id,created_at,full_text,full_text_preprocessed,entities.symbols,num_cashtags
1510405416223907844,Sat Apr 02 23:54:47 +0000 2022,$TLRY anyone know the ticker for med men?? Retailer modes for Tilray. 👍,tlry anyone know the ticker for med men retailer modes for tilray,"[{'text': 'TLRY', 'indices': [0, 5]}]",1
1510402350174781440,Sat Apr 02 23:42:36 +0000 2022,"$TLRY I have a combined 30,000 shares of weed plays. Time to pass, Senate. $POTX $CRLBF $TLRY $SNDL $KERN 

SHOW US THE MONEY- honey! ↘",tlry i have a combined shares of weed plays time to pass senate potx crlbf tlry sndl kern show us the money honey,"[{'text': 'TLRY', 'indices': [0, 5]}, {'text': 'POTX', 'indices': [75, 80]}, {'text': 'CRLBF', 'indices': [81, 87]}, {'text': 'TLRY', 'indices': [88, 93]}, {'text': 'SNDL', 'indices': [94, 99]}, {'text': 'KERN', 'indices': [100, 105]}]",6
1510402062546137094,Sat Apr 02 23:41:28 +0000 2022,"$NIO $TLRY $CGC $JD $BIDU  
Nows the time to buy pot and Chinese tech! Man I feel dirty but it feels so good! If it’s wrong I don’t wanna be right! 😂🚀🙌 ⭐",nio tlry cgc jd bidu nows the time to buy pot and chinese tech man i feel dirty but it feels so good if its wrong i dont wanna be right,"[{'text': 'NIO', 'indices': [0, 4]}, {'text': 'TLRY', 'indices': [5, 10]}, {'text': 'CGC', 'indices': [11, 15]}, {'text': 'JD', 'indices': [16, 19]}, {'text': 'BIDU', 'indices': [20, 25]}]",5
1510392771689213952,Sat Apr 02 23:04:33 +0000 2022,$TLRY yaaaaa rogans smokin bud in commemoration of the bill being passed 🚀🚀🚀🚀 probably 10 bucks premarket followed by market makers fuckery all week up until it passes senate. 👍,tlry yaaaaa rogans smokin bud in commemoration of the bill being passed probably bucks premarket followed by market makers fuckery all week up until it passes senate,"[{'text': 'TLRY', 'indices': [0, 5]}]",1
1510392638905917441,Sat Apr 02 23:04:01 +0000 2022,$TLRY shares too cheap.  Assets &gt; market cap.  Great setup into earnings this Weds 🚀🚀 ✔,tlry shares too cheap assets gt market cap great setup into earnings this weds,"[{'text': 'TLRY', 'indices': [0, 5]}]",1
1510391880068247552,Sat Apr 02 23:01:00 +0000 2022,$TLRY feds need tax dollars for BBB. This WIIL PASS. Deals being done by Republicans on funds from BBB. Vote yes or get left out of the pie basically. Don’t sell for Pennies. Hold for triple figures. ↔,tlry feds need tax dollars for bbb this wiil pass deals being done by republicans on funds from bbb vote yes or get left out of the pie basically dont sell for pennies hold for triple figures,"[{'text': 'TLRY', 'indices': [0, 5]}]",1
1510391647900684288,Sat Apr 02 23:00:05 +0000 2022,"This year: 
$AAPL is down -4.1% 
$AMD is down -28.0% 
$NIO is down -34.5% 
$PBCT is up 7.1% 
$TLRY is up 1.2% https://t.co/jgJBMhrhxk",this year aapl is down  amd is down  nio is down  pbct is up  tlry is up ,"[{'text': 'AAPL', 'indices': [12, 17]}, {'text': 'AMD', 'indices': [33, 37]}, {'text': 'NIO', 'indices': [54, 58]}, {'text': 'PBCT', 'indices': [75, 80]}, {'text': 'TLRY', 'indices': [93, 98]}]",5
1510390917152210944,Sat Apr 02 22:57:11 +0000 2022,$TLRY we may have tlry rally on Monday pre market. Gl to whoever holding over weekend. 🤞,tlry we may have tlry rally on monday pre market gl to whoever holding over weekend,"[{'text': 'TLRY', 'indices': [0, 5]}]",1
1510386090284576768,Sat Apr 02 22:38:00 +0000 2022,$MSOS $TLRY $CGC SAFE banking is a huge catalyst that cannabis stocks are not pricing in. MORE act is more about inequality/social issues.,msos tlry cgc safe banking is a huge catalyst that cannabis stocks are not pricing in more act is more about inequalitysocial issues,"[{'text': 'MSOS', 'indices': [0, 5]}, {'text': 'TLRY', 'indices': [6, 11]}, {'text': 'CGC', 'indices': [12, 16]}]",3
1510384407227498499,Sat Apr 02 22:31:18 +0000 2022,"$TLRY midterms comomg up. Senate will pass or they will be replaced. It's that simple
 Everyone tokes ! 😀",tlry midterms comomg up senate will pass or they will be replaced its that simple everyone tokes ,"[{'text': 'TLRY', 'indices': [0, 5]}]",1
